"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Surface area (sq. km)",AG.SRF.TOTL.K2,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,
Afghanistan,AFG,"Surface area (sq. km)",AG.SRF.TOTL.K2,,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,,
Angola,AGO,"Surface area (sq. km)",AG.SRF.TOTL.K2,,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,,
Albania,ALB,"Surface area (sq. km)",AG.SRF.TOTL.K2,,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,,
Andorra,AND,"Surface area (sq. km)",AG.SRF.TOTL.K2,,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,,
"Arab World",ARB,"Surface area (sq. km)",AG.SRF.TOTL.K2,,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275941.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275961.000061,11275971.000061,11275981.000061,11275991.000061,11275991.000061,11276001.000061,11276011.000061,11273471.000061,11273473.0000305,11273478.0000305,11273481.000061,11273292.9922485,11273293.9922333,11273300.9922791,11273300.9922791,11273300.9922791,11273300.9922791,,
"United Arab Emirates",ARE,"Surface area (sq. km)",AG.SRF.TOTL.K2,,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,,
Argentina,ARG,"Surface area (sq. km)",AG.SRF.TOTL.K2,,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,,
Armenia,ARM,"Surface area (sq. km)",AG.SRF.TOTL.K2,,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,,
"American Samoa",ASM,"Surface area (sq. km)",AG.SRF.TOTL.K2,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,
"Antigua and Barbuda",ATG,"Surface area (sq. km)",AG.SRF.TOTL.K2,,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,,
Australia,AUS,"Surface area (sq. km)",AG.SRF.TOTL.K2,,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,,
Austria,AUT,"Surface area (sq. km)",AG.SRF.TOTL.K2,,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,83879.00390625,,
Azerbaijan,AZE,"Surface area (sq. km)",AG.SRF.TOTL.K2,,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,,
Burundi,BDI,"Surface area (sq. km)",AG.SRF.TOTL.K2,,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,,
Belgium,BEL,"Surface area (sq. km)",AG.SRF.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,,
Benin,BEN,"Surface area (sq. km)",AG.SRF.TOTL.K2,,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,,
